stores,tables_in_working_set,pass,opened_tables_delta,open_tables,pass_ms,thrashing
40,1920,1,763,763,1575,no
40,1920,2,0,763,806,no
40,1920,3,0,763,801,no
80,3840,1,1523,1523,3131,no
80,3840,2,0,1523,1498,no
80,3840,3,0,1523,1493,no
105,5040,1,1998,1998,3058,no
105,5040,2,0,1998,2030,no
105,5040,3,0,1998,2053,no
120,5760,1,2283,2000,3177,no
120,5760,2,2280,2000,2524,YES
120,5760,3,2280,2000,2534,YES
160,7680,1,3043,2000,4965,no
160,7680,2,3040,2000,3674,YES
160,7680,3,3040,2000,3669,YES
200,9600,1,3803,2000,5969,no
200,9600,2,3800,2000,4288,YES
200,9600,3,3800,2000,4368,YES
